ensemblGeneID	GeneSymbol	p1.shared_all_subcomp.1	p2.shared_all_subcomp.2	p3.shared_all_subcomp.3	p4.shared_all_subcomp.4	p5.shared_all_subcomp.5	p6.shared_all_subcomp.6	p7shared_all_subcomp.7	p8.shared_all_subcomp.8	p9.shared_all_subcomp.9	p10.shared_all_subcomp.10	p11.shared_all_subcomp.11	p12.shared_all_subcomp.12	p13.shared_all_subcomp.13	p14.shared_all_subcomp.14	p15.shared_all_subcomp.15	p16.shared_all_subcomp.16	p17.shared_all_subcomp.17	p18.shared_all_subcomp.18	p19.shared_all_subcomp.19	p20.shared_all_subcomp.20
ENSG00000139304	PTPRQ	0.0001	0.0000	0.0000	0.0105	0.0000	0.0072	0.0813	0.0000	0.0000	0.1946	0.0016	0.0000	0.0000	0.0004	0.1127	0.0145	0.2288	0.0000	0.0038	0.1619
ENSG00000102390	PBDC1	0.0001	0.0932	0.1351	0.0001	0.0000	0.0000	0.0005	0.0416	0.0018	0.0079	0.0007	0.2372	0.0077	0.0647	0.0000	0.0000	0.0202	0.0143	0.0002	0.1722
ENSG00000123612	ACVR1C	0.0001	0.0000	0.0579	0.1750	0.0000	0.0000	0.6604	0.0001	0.0000	0.0000	0.2281	0.0262	0.0000	0.6891	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000
ENSG00000184350	MRGPRE	0.0001	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0016	0.0012	0.0000	0.0003	0.0000	0.0002	0.0000	0.0032	0.0000	0.0000
ENSG00000250423	KIAA1210	0.0001	0.0001	0.0002	0.0023	0.0000	0.0000	0.0000	0.0011	0.0000	0.0812	0.0000	0.0056	0.0000	0.0129	0.0000	0.0000	0.0069	0.0014	0.0041	0.0000
ENSG00000164106	SCRG1	0.0001	0.0000	0.0007	0.2246	0.0000	0.0000	0.0000	0.0457	0.0040	0.0000	0.0000	0.0623	0.0142	0.0000	0.0000	0.2344	0.0020	0.0000	0.0000	0.1484
ENSG00000138030	KHK	0.0001	0.2342	0.1269	0.0132	0.0000	0.0057	0.0003	0.0517	0.0004	0.1044	0.0000	0.1192	0.0170	0.0064	0.0001	0.0000	0.1444	0.0385	0.0113	0.0690
ENSG00000142541	RPL13A	0.0001	0.3632	0.0119	0.0011	0.0000	0.0013	0.0001	0.0140	0.0001	0.2973	0.0000	0.5423	0.0134	0.8324	0.0001	0.0000	0.0554	0.0118	0.3822	0.2174
ENSG00000180383	DEFB124	0.0001	0.0000	0.0002	0.0044	0.0021	0.0001	0.0008	0.0000	0.0008	0.0161	0.0035	0.0000	0.0000	0.0000	0.0019	0.0000	0.0000	0.0000	0.0029	0.0000
ENSG00000149591	TAGLN	0.0001	0.0122	0.0104	0.0003	0.0039	0.0261	0.0316	0.0830	0.0166	0.0729	0.0149	0.0001	0.0372	0.0001	0.0007	0.0119	0.0013	0.0880	0.0268	0.0008
ENSG00000139626	ITGB7	0.0001	0.0000	0.0034	0.0000	0.0000	0.0000	0.0000	0.0055	0.0019	0.0182	0.0000	0.0027	0.0000	0.0087	0.0000	0.0000	0.0038	0.0008	0.0003	0.0000
